Model,Overall_Accuracy,Negative_Precision,Negative_Recall,Negative_F1,Positive_Precision,Positive_Recall,Positive_F1
Logistic_Regression,0.9542746113989637,0.31982942430703626,0.8152173913043478,0.45941807044410415,0.9953109915873672,0.9576698513800425,0.9761276797186718
Naive_Bayes,0.9787564766839378,0.75,0.16304347826086957,0.26785714285714285,0.9799479166666667,0.9986730360934183,0.9892218717139852
Random_Forest,0.9787564766839378,0.7,0.19021739130434784,0.29914529914529914,0.980573663624511,0.9980095541401274,0.9892147836380376
